subgroup,condition,mode,num_samples,valid_answers,answer_rate,final_correct,final_scored,final_accuracy,accuracy_among_answered,grounding_present,protocol_violation_rate,judge_pending,oom,error,mean_input_tokens,mean_visual_tokens,mean_output_tokens,mean_runtime_seconds
all,F_full_direct,lenient,88,3,0.03409090909090909,1,88,0.011363636363636364,0.3333333333333333,36,0.4090909090909091,0,0,0,7469.556818181818,5830.522727272727,121.97727272727273,5.702014835106886
all,O_oracle_top2_direct,lenient,88,4,0.045454545454545456,1,86,0.011627906976744186,0.5,35,0.3977272727272727,2,0,0,5547.420454545455,3880.3863636363635,121.5909090909091,4.722195079994642
all,R_recent_top2_direct,lenient,88,3,0.03409090909090909,1,88,0.011363636363636364,0.3333333333333333,37,0.42045454545454547,0,0,0,4926.272727272727,3259.2386363636365,121.2159090909091,4.45895884880288
all,X_random_top2_direct,lenient,88,1,0.011363636363636364,1,88,0.011363636363636364,1.0,34,0.38636363636363635,0,0,0,5194.931818181818,3527.8977272727275,122.52272727272727,4.612602575195276
