subgroup,condition,mode,num_samples,valid_answers,answer_rate,final_correct,final_scored,final_accuracy,accuracy_among_answered,grounding_present,protocol_violation_rate,judge_pending,oom,error,mean_input_tokens,mean_visual_tokens,mean_output_tokens,mean_runtime_seconds
max_prefix_gt_coverage_ge_0.50,F_full_direct,strict,83,3,0.03614457831325301,1,83,0.012048192771084338,0.3333333333333333,35,0.42168674698795183,0,0,0,7237.168674698795,5595.518072289156,121.93975903614458,5.5956705456083435
max_prefix_gt_coverage_ge_0.50,F_full_direct,lenient,83,3,0.03614457831325301,1,83,0.012048192771084338,0.3333333333333333,35,0.42168674698795183,0,0,0,7237.168674698795,5595.518072289156,121.93975903614458,5.5956705456083435
max_prefix_gt_coverage_ge_0.50,O_oracle_top2_direct,strict,83,4,0.04819277108433735,1,81,0.012345679012345678,0.5,34,0.40963855421686746,2,0,0,5503.409638554217,3833.759036144578,121.53012048192771,4.701987644881908
max_prefix_gt_coverage_ge_0.50,O_oracle_top2_direct,lenient,83,4,0.04819277108433735,1,81,0.012345679012345678,0.5,34,0.40963855421686746,2,0,0,5503.409638554217,3833.759036144578,121.53012048192771,4.701987644881908
max_prefix_gt_coverage_ge_0.50,R_recent_top2_direct,strict,83,3,0.03614457831325301,1,83,0.012048192771084338,0.3333333333333333,35,0.42168674698795183,0,0,0,4827.349397590361,3157.6987951807228,121.16867469879519,4.415712072906724
max_prefix_gt_coverage_ge_0.50,R_recent_top2_direct,lenient,83,3,0.03614457831325301,1,83,0.012048192771084338,0.3333333333333333,35,0.42168674698795183,0,0,0,4827.349397590361,3157.6987951807228,121.16867469879519,4.415712072906724
max_prefix_gt_coverage_ge_0.50,X_random_top2_direct,strict,83,1,0.012048192771084338,1,83,0.012048192771084338,1.0,33,0.39759036144578314,0,0,0,5100.048192771084,3430.397590361446,122.51807228915662,4.565502550093884
max_prefix_gt_coverage_ge_0.50,X_random_top2_direct,lenient,83,1,0.012048192771084338,1,83,0.012048192771084338,1.0,33,0.39759036144578314,0,0,0,5100.048192771084,3430.397590361446,122.51807228915662,4.565502550093884
max_prefix_gt_coverage_ge_0.999999,F_full_direct,strict,78,3,0.038461538461538464,1,78,0.01282051282051282,0.3333333333333333,33,0.4230769230769231,0,0,0,7326.538461538462,5684.179487179487,121.85897435897436,5.628899906475383
max_prefix_gt_coverage_ge_0.999999,F_full_direct,lenient,78,3,0.038461538461538464,1,78,0.01282051282051282,0.3333333333333333,33,0.4230769230769231,0,0,0,7326.538461538462,5684.179487179487,121.85897435897436,5.628899906475383
max_prefix_gt_coverage_ge_0.999999,O_oracle_top2_direct,strict,78,4,0.05128205128205128,1,76,0.013157894736842105,0.5,30,0.38461538461538464,2,0,0,5501.551282051282,3831.1923076923076,121.52564102564102,4.703389918622681
max_prefix_gt_coverage_ge_0.999999,O_oracle_top2_direct,lenient,78,4,0.05128205128205128,1,76,0.013157894736842105,0.5,30,0.38461538461538464,2,0,0,5501.551282051282,3831.1923076923076,121.52564102564102,4.703389918622681
max_prefix_gt_coverage_ge_0.999999,R_recent_top2_direct,strict,78,3,0.038461538461538464,1,78,0.01282051282051282,0.3333333333333333,32,0.41025641025641024,0,0,0,4859.48717948718,3189.128205128205,121.12820512820512,4.430967377737547
max_prefix_gt_coverage_ge_0.999999,R_recent_top2_direct,lenient,78,3,0.038461538461538464,1,78,0.01282051282051282,0.3333333333333333,32,0.41025641025641024,0,0,0,4859.48717948718,3189.128205128205,121.12820512820512,4.430967377737547
max_prefix_gt_coverage_ge_0.999999,X_random_top2_direct,strict,78,1,0.01282051282051282,1,78,0.01282051282051282,1.0,30,0.38461538461538464,0,0,0,5112.2692307692305,3441.9102564102564,122.67948717948718,4.577021576177615
max_prefix_gt_coverage_ge_0.999999,X_random_top2_direct,lenient,78,1,0.01282051282051282,1,78,0.01282051282051282,1.0,30,0.38461538461538464,0,0,0,5112.2692307692305,3441.9102564102564,122.67948717948718,4.577021576177615
