condition,k_irrelevant,total_samples,valid_samples,invalid_samples,invalid_rate,accuracy_invalid_as_wrong,valid_only_accuracy,drop_vs_gt_crop_only_invalid_as_wrong,drop_vs_gt_crop_only_valid_only,flip_rate_vs_gt_crop_only_valid_comparable
original_only,0,238,236,2,0.008403361344537815,0.6596638655462185,0.6652542372881356,0.12184873949579833,0.12961755758365923,0.28448275862068967
gt_crop_only,0,238,234,4,0.01680672268907563,0.7815126050420168,0.7948717948717948,0.0,0.0,
gt_plus_1_irrelevant,1,238,233,5,0.02100840336134454,0.7605042016806722,0.776824034334764,0.021008403361344574,0.018047760537030832,0.09956709956709957
gt_plus_4_irrelevant,4,238,225,13,0.0546218487394958,0.7310924369747899,0.7733333333333333,0.050420168067226934,0.021538461538461506,0.12053571428571429
gt_plus_8_irrelevant,8,238,225,13,0.0546218487394958,0.7184873949579832,0.76,0.06302521008403361,0.034871794871794815,0.16071428571428573
