condition,k_irrelevant,gt_crop_position,total_samples,accuracy_invalid_as_wrong,valid_only_accuracy,invalid_rate,position_correct_corr_condition,position_valid_correct_corr_condition
gt_crop_only,0,1,238,0.7815126050420168,0.7948717948717948,0.01680672268907568,,
gt_plus_1_irrelevant,1,1,130,0.7923076923076923,0.7984496124031008,0.007692307692307665,-0.08175886037483622,-0.057844340322943374
gt_plus_1_irrelevant,1,2,108,0.7222222222222222,0.75,0.03703703703703709,-0.08175886037483622,-0.057844340322943374
gt_plus_4_irrelevant,4,1,56,0.6964285714285714,0.7358490566037735,0.0535714285714286,0.08842435705305303,0.08349372902783202
gt_plus_4_irrelevant,4,2,50,0.74,0.8043478260869565,0.07999999999999996,0.08842435705305303,0.08349372902783202
gt_plus_4_irrelevant,4,3,40,0.625,0.6410256410256411,0.025000000000000022,0.08842435705305303,0.08349372902783202
gt_plus_4_irrelevant,4,4,46,0.7608695652173914,0.8333333333333334,0.08695652173913049,0.08842435705305303,0.08349372902783202
gt_plus_4_irrelevant,4,5,46,0.8260869565217391,0.8444444444444444,0.021739130434782594,0.08842435705305303,0.08349372902783202
gt_plus_8_irrelevant,8,1,24,0.5833333333333334,0.5833333333333334,0.0,0.12963448085598625,0.16067352966604923
gt_plus_8_irrelevant,8,2,23,0.6521739130434783,0.7142857142857143,0.08695652173913049,0.12963448085598625,0.16067352966604923
gt_plus_8_irrelevant,8,3,28,0.6428571428571429,0.6666666666666666,0.0357142857142857,0.12963448085598625,0.16067352966604923
gt_plus_8_irrelevant,8,4,28,0.75,0.84,0.1071428571428571,0.12963448085598625,0.16067352966604923
gt_plus_8_irrelevant,8,5,29,0.7241379310344828,0.75,0.03448275862068961,0.12963448085598625,0.16067352966604923
gt_plus_8_irrelevant,8,6,27,0.8148148148148148,0.8461538461538461,0.03703703703703709,0.12963448085598625,0.16067352966604923
gt_plus_8_irrelevant,8,7,24,0.7083333333333334,0.7391304347826086,0.04166666666666663,0.12963448085598625,0.16067352966604923
gt_plus_8_irrelevant,8,8,32,0.78125,0.8333333333333334,0.0625,0.12963448085598625,0.16067352966604923
gt_plus_8_irrelevant,8,9,23,0.782608695652174,0.8571428571428571,0.08695652173913049,0.12963448085598625,0.16067352966604923
original_only,0,none,238,0.6596638655462185,0.6652542372881356,0.008403361344537785,,
