category,num_episodes,total_crops,mean_crops_per_episode,median_crops_per_episode,gt_center_hit_episodes,gt_center_hit_rate,gt_coverage_10_hit_episodes,gt_coverage_10_hit_rate,geometrically_irrelevant_crops,geometrically_irrelevant_crop_ratio,repeated_high_overlap_crops,repeated_high_overlap_crop_ratio,hit_gt_but_wrong_episodes,hit_gt_but_wrong_rate_among_hits,correct_without_gt_hit_episodes,reached_max_rounds,reached_max_images,invalid,invalid_rate,oom,oom_rate
Color Recognition,73,380,5.205479452054795,4,40,0.547945205479452,42,0.5753424657534246,254,0.6684210526315789,112,0.29473684210526313,36,0.8571428571428571,1,18,17,4,0.0547945205479452,2,0.0273972602739726
Entity Recognition,64,442,6.90625,5.0,37,0.578125,39,0.609375,292,0.6606334841628959,149,0.33710407239819007,34,0.8717948717948718,0,29,28,2,0.03125,1,0.015625
OCR Recognition,71,528,7.436619718309859,11,47,0.6619718309859155,52,0.7323943661971831,310,0.5871212121212122,229,0.4337121212121212,43,0.8269230769230769,0,37,36,0,0.0,2,0.028169014084507043
Occluded Object Recognition,34,229,6.735294117647059,5.0,26,0.7647058823529411,26,0.7647058823529411,114,0.4978165938864629,83,0.3624454148471616,22,0.8461538461538461,0,15,14,3,0.08823529411764706,1,0.029411764705882353
Spatial Relationship,58,490,8.448275862068966,11.0,39,0.6724137931034483,41,0.7068965517241379,352,0.7183673469387755,181,0.3693877551020408,37,0.9024390243902439,0,38,38,1,0.017241379310344827,0,0.0
